n,concept_en,ita,fra,spa,cat,por,oci,deu,eng,slv,hrv,hun,fur,lij,lmo,sc,scn,vec
157,sand,sabbia,sable,arena,"sorra, arena",areia,sabla,Sand,sand,pesek,"pesak, pijesak",homok,savalon,ænn-a,gèra,rena,rina,rena
158,dust,polvere,poussière,polvo,pols,"pó, poeira","polvèra, posca",Staub,dust,prah,prah,por,polvar,pûa,pùlvura,pruine,pùrbiri,polvere
159,earth,"terra, mondo",terre,tierra,terra,terra,tèrra,Erde,earth,zemlja,zemlja,föld,tiere,tæra,tèra,terra,"munnu, terra",tera
160,cloud,nuvola,"nuage, nue",nube,núvol,nuvem,nívol,Wolke,cloud,oblak,oblak,felhő,nûl,nûvia,nìgula,nue,nèvula,nuvola
161,fog,nebbia,brume,"niebla, neblina",boira,"névoa, neblina","bruma, tubas",Nebel,fog,megla,magla,köd,fumate,nêgia,nèbia,neula,negghia,caligine
162,sky,cielo,ciel,cielo,cel,céu,cèl,Himmel,sky,nebo,nebo,ég,cîl,çê,cél,chelu,celu,cel
163,wind,vento,vent,viento,vent,vento,vent,Wind,wind,veter,"vetar, vjetar",szél,vint,vento,veent,bentu,ventu,vento
164,snow,neve,neige,nieve,neu,neve,nèu,Schnee,snow,sneg,"sneg, snijeg",hó,nêf,néive,neef,nie,nivi,neve
165,ice,ghiaccio,glace,hielo,"glaç, gel",gelo,glaç,Eis,ice,led,led,jég,glaç,giassa,giàz,"ghiatzu, astragu",jelu,jazo
166,smoke,fumo,fumée,humo,fum,fumo,fum,Rauch,smoke,dim,dim,füst,fum,fumme,fumèra,fumu,fumu,fumo
167,fire,fuoco,feu,fuego,foc,fogo,"fuòc, fuèc, fòc",Feuer,fire,ogenj,vatra,tűz,fûc,fêugo,föög,fogu,focu,fogo
168,ash,cenere,cendre,ceniza,cendra,cinza,cendre,Asche,ash,pepel,pepeo,hamu,cinise,çeine,scindra,chisina,cìnniri,cendre
169,to burn,bruciare,brûler,"arder, quemar",cremar,"arder, queimar",cremar,brennen,to burn,žgati,"goreti, gorjeti",ég,brusâ,brüxâ,brüsà,fogulare,abbruciari,brusar
170,road,strada,route,"carretera, camino, vía","carretera, via","estrada, caminho, via",camin,Straße,road,cesta,"put, cesta",út,strade,stradda,"strada, via",istrada,strata,"strada, via"
171,mountain,montagna,"montagne, mont","montaña, monte","muntanya, mont","montanha, monte",montanha,Berg,mountain,gora,"gora, planina",hegy,montagne,montagna,muunt,monte,muntagna,monte
172,red,rosso,rouge,rojo,"vermell, roig","vermelho, rubro","roge, ~ja",rot,red,rdeč,"crven, rud","piros, vörös",ros,rosso,rós,ruiu,russu,roso
173,green,verde,vert,verde,verd,verde,"verd, ~a",grün,green,zelen,zelen,zöld,vert,verde,veert,birde,virdi,verde
174,yellow,giallo,jaune,amarillo,groc,amarelo,"jaune, ~a",gelb,yellow,rumen,žut,sárga,zâl,giâno,giàalt,"grogu, giallu",giarnu,gialo
175,white,bianco,blanc,blanco,blanc,branco,"blanc, ~a",weiß,white,bel,"beo, bijel, bio",fehér,blanc,gianco,biàanch,arvu,"jancu, viancu",bianco
176,black,nero,noir,negro,negre,negro,"negre, ~a",schwarz,black,črn,crn,fekete,neri,néigro,négar,nieddu,nìguru,negro
177,night,notte,nuit,noche,nit,noite,"nuèch, nuòch, nuèit",Nacht,night,noč,noć,éj,gnot,néutte,nòcc,notte,notti,note
178,day,giorno,jour,día,"dia, jorn",dia,jorn,Tag,day,dan,dan,nap,dì,giorno,dì,die,jornu,giorno
179,year,anno,année,año,any,ano,an,Jahr,year,leto,"godina, leto, ljeto",év,an,anno,aŋ,annu,annu,ano
180,warm,caldo,chaud,"caliente, cálido","calent, càlid",quente,"caud, ~a",warm,warm,topel,topao,meleg,cjalt,câdo,caalt,calidu,càudu,caldo
181,cold,freddo,froid,frío,fred,frio,"freg, ~ja",kalt,cold,hladen,hladan,hideg,frêt,fréido,frecc,frittu,friddu,fredo
182,full,pieno,plein,lleno,ple,cheio,"plen, ~a",voll,full,poln,pun,teli,plen,pìn,piéŋ,pienu,chinu,pien
183,new,nuovo,nouveau,nuevo,nou,novo,"nòu, ~va",neu,new,nov,nov,új,gnûf,"nêuvo, nêuo",nööf,nou,novu,novo
184,old,vecchio,vieux,viejo,vell,velho,"vièlh, ~a",alt,old,star,star,"öreg (being), régi (thing)",vieli,vêgio,vécc,betzu,vecchiu,vecio
185,good,buono,bon,bueno,bo,bom,"bon, ~a",gut,good,dober,dobar,jó,bon,bon,bóŋ,bonu,bonu,bon
186,bad,cattivo,"mauvais adj., mal adv.","malo adj., mal adv.","dolent adj., mal adv.","mau adj., mal adv.","marrit, ~da","schlecht, übel",bad,slab,loš,rossz,trist,catîvo,catìif,malosu,malu,cativo
187,rotten,marcio,pourri,podrido,podrit,podre,"poirit, ~da","faul, verrottet",rotten,gnil,"truo, gnjio",rohadt,vuast,marso,mars,martzu,purritu,marzo
188,dirty,sporco,sale,sucio,brut,sujo,"lord, ~a","schmutzig, dreckig",dirty,umazan,prljav,piszkos,soç,sücido,tenc,isporcu,"lurdu, nzivatu",sludro
189,straight,dritto,droit,recto,"recte, dret",reto,"drech/drèit, ~a",gerade,straight,raven,"prav, ravan",egyenes,dret,drîto,driss,drittu,drittu,drito
190,round,rotondo,rond,redondo,rodó,redondo,"redond, ~a",rund,round,okrogel,"obao, okrugao",kerek,taront,rióndo,"rudùund, rudùunt",redundu,tunnu,tondo
191,sharp (as a knife),affilato,affilé,afilado,"esmolat, afilat",afiado,"agusat, ~da",scharf,sharp (as a knife),oster,oštar,éles,uçât,afilòu,güz,arrodadu,affilatu,spizo
192,dull (as a knife),smussato,émoussé,"sin filo, romo","esmussat, rom",rombo,[[]],stumpf,dull (as a knife),top,tup,tompa,asiât,smusòu,mucch,atturussu,smanciatu,spizato
193,smooth,liscio,lisse,liso,llis,liso,"doç, ~a",glatt,smooth,gladek,gladak,sima,lis,lìscio,liss,liju,lisciu,lisier
194,wet,bagnato,mouillé,"húmedo, mojado","humit, mullat",molhado,"trempe, ~a","nass, feucht",wet,moker,mokar,nedves,umit,bagnòu,ümit,bagnadu,moḍḍu,bagnà
195,dry,secco,sec,seco,sec,seco,"sec, ~a","dürr, trocken",dry,suh,"suh, suv",száraz,sec,sécco,sech,siccu,siccu,seco
196,correct,"giusto, corretto",correct,correcto,correcte,correto,"corrècte, ~a",richtig,correct,pravilen,"tačan, točan",helyes,just,giùsto,giüst,giustu,giustu,giusto
197,near,vicino,"près, proche","cerca, próximo","prop, pròxim","perto, próximo",prèp,nah,near,bližnji,blizak,közel,dongje,"arénte, vixìn",visìŋ,affacca,vicinu,vizin
198,far,lontano,"loin, lointain, distant","lejos, lejano, distante","lluny, llunyà, distant","longe, longínquo, distante","luènh, luònh","fern, weit",far,oddaljen,dalek,távol,luntano,lontàn,luntàŋ,addae,luntanu,lontan
199,right,destra,droit,derecho,dret,direito,drecha/drèita,rechts,right,desni,desni,jobb,drete,"drîta, dèstra",dèstra,dresta,ritta,destro
200,left,sinistra,gauche,izquierdo,esquerre,esquerdo,esquèrra,links,left,levi,"levi, lijevi",bal,çambe,"mancìnn-a, scinìstra",sinistra,manca,manca,sinistro
201,at,a,"en, à","en, a","en, a","em, a",a,"an, bei",at,pri,kod,"-nál, -nél",a,a,"a, em",a,nne,a
202,in,in,"en, dans",en,"en, dins",em,"dins, en",in,in,v,u,"-ban, -ben",in,in,"in, in da",in,"'n, ta",in
203,with,con,avec,con,amb,com,amb,mit,with,"s, z","s, sa","-val, -vel",cun,con,con,cun,cu,con
204,and,e,et,"y, e (before /i/)",i,e,e,und,and,in,i,és,e,e,e,e,e,e
205,if,se,si,si,si,se,se,"ob, wenn",if,"če, ako",ako,ha,se,se,se,si,si,se
206,because,perché,parce que,porque,perquè,porque,perque,weil,because,ker,"zato, radi, jer",mert,parcè,perché,parchè,pro itte,pirchì,parché
207,name,nome,nom,nombre,nom,nome,nom,Name,name,ime,ime,név,non,nómme,nóm,nomene,nomu,nome
